Giocatore,Squadra,Ruolo,Disp,Avversario,Data,xG,xA,P_gol,P_ass,CS%,Titolare%,Fantavoto,FV_raw,Voto,EV,Rif,GolSq,GolOpp,Fonte,Res,P_V,P_N,P_S,KO,Trend,TrendTxt,Nota
Hojlund,Napoli,A,True,vs Frosinone,11/10,0.44,0.11,36,11,,83,7.75,7.414,6.8,7.67,7.232,2.13,1.04,xG+quote,0.448,62,20,18,2026-10-11T13:00:00Z,→,"forma →: xGI/90 0.36 (ultime 5) vs 0.54 (30 prima), z -0.7",
Conceicao,Juventus,C,True,@ Cagliari,11/10,0.26,0.14,23,13,,100,7.37,6.91,7.1,7.37,6.654,1.79,0.84,xG+quote,0.425,60,23,17,2026-10-11T13:00:00Z,→,"forma →: xGI/90 0.51 (ultime 5) vs 0.54 (30 prima), z -0.2",
De Ketelaere,Atalanta,A,True,vs Venezia,11/10,0.26,0.37,23,31,,80,7.4,7.108,6.2,7.36,7.232,2.01,1.28,xG+quote,0.304,54,22,24,2026-10-11T13:00:00Z,↘,"forma ↘: xGI/90 0.27 (ultime 5) vs 0.64 (30 prima), z -1.4, minuti in aumento",
Yildiz,Juventus,A,False,@ Cagliari,11/10,0.2,0.23,18,20,,11,7.13,6.801,5.9,7.22,7.232,1.79,0.84,xG+quote,0.425,60,23,17,2026-10-11T13:00:00Z,↘,"forma ↘: xGI/90 0.27 (ultime 5) vs 0.63 (30 prima), z -1.4",
Pulisic,Milan,C,True,@ Sassuolo,11/10,0.25,0.17,22,16,,40,7.34,6.976,7.0,6.93,6.654,1.66,1.26,xG+quote,0.174,47,24,29,2026-10-11T13:00:00Z,↑,"forma ↑: xGI/90 1.12 (ultime 5) vs 0.75 (30 prima), z +2.0",
Stulic,Lecce,A,True,vs Bologna,11/10,0.17,0.05,16,5,,63,6.64,6.544,5.1,6.85,7.232,1.08,1.57,xG+quote,-0.223,26,25,49,2026-10-11T13:00:00Z,→,"forma →: xGI/90 0.46 (ultime 5) vs 0.45 (30 prima), z +0.0, minuti in aumento",
Laurientè,Sassuolo,A,True,vs AC Milan,11/10,0.18,0.21,17,19,,100,6.8,6.691,5.4,6.8,7.232,1.26,1.66,xG+quote,-0.174,29,24,47,2026-10-11T13:00:00Z,→,"forma →: xGI/90 0.65 (ultime 5) vs 0.50 (30 prima), z +0.7",
Lobotka,Napoli,C,True,vs Frosinone,11/10,0.05,0.08,5,7,,95,6.71,6.249,6.1,6.71,6.654,2.13,1.04,xG+quote,0.448,62,20,18,2026-10-11T13:00:00Z,↗,"forma ↗: xGI/90 0.17 (ultime 5) vs 0.06 (30 prima), z +0.9",
Orsolini,Bologna,C,False,@ Lecce,11/10,0.13,0.03,12,3,,27,6.77,6.391,6.2,6.69,6.654,1.57,1.08,xG+quote,0.223,49,25,26,2026-10-11T13:00:00Z,→,"forma →: xGI/90 0.62 (ultime 5) vs 0.55 (30 prima), z +0.4, minuti in calo",
Maldini,Cagliari,A,True,vs Juventus,11/10,0.2,0.07,18,6,,91,6.63,6.616,5.1,6.68,7.232,0.84,1.79,xG+quote,-0.425,17,23,60,2026-10-11T13:00:00Z,→,"forma →: xGI/90 0.63 (ultime 5) vs 0.44 (30 prima), z +0.7",
Alajbegovic,Juventus,C,True,@ Cagliari,11/10,0.07,0.04,7,4,,69,6.65,6.196,6.0,6.65,6.654,1.79,0.84,xG+quote,0.425,60,23,17,2026-10-11T13:00:00Z,,,pochi dati
Liberali,Como,C,True,vs Roma,11/10,0.01,0.01,1,1,,12,6.34,6.037,5.5,6.62,6.654,1.52,1.49,xG+quote,0.014,39,24,37,2026-10-11T13:00:00Z,,,pochi dati
Cristante,Roma,C,True,@ Como,11/10,0.06,0.04,5,4,,100,6.56,6.265,5.9,6.56,6.654,1.49,1.52,xG+quote,-0.014,37,24,39,2026-10-11T13:00:00Z,→,"forma →: xGI/90 0.10 (ultime 5) vs 0.15 (30 prima), z -0.4",
