nome,squadra,ruolo,mantra,understat,disponibile
Maignan,Milan,P,Por,,1
Falcone,Lecce,P,Por,,1
Torriani,Milan,P,Por,,1
Mancini,Roma,D,Dc,,1
Ramon,Como,D,Dc,,1
Lucumì,Juventus,D,Dc,,1
Wesley,Roma,D,E,,1
Miranda J.,Bologna,D,Ds;E,,1
Diego Carlos,Parma,D,Dc,,1
Badiashile,Napoli,D,Dc,,1
Gabbia,Milan,D,Dc,,1
Conceicao,Juventus,C,W;A,,1
Alajbegovic,Juventus,C,W;T,,1
Cristante,Roma,C,M;C,,1
Lobotka,Napoli,C,M;C,,1
Pulisic,Milan,C,T;A,,1
Liberali,Como,C,,,1
Bernabè,Parma,C,C,,1
Orsolini,Bologna,C,W;A,,0
Laurientè,Sassuolo,A,A,,1
Hojlund,Napoli,A,Pc,,1
De Ketelaere,Atalanta,A,A,,1
Maldini,Cagliari,A,T;A,,1
Stulic,Lecce,A,Pc,,1
Yildiz,Juventus,A,A,,0
