Giocatore,Ruolo,Squadra,Avversario,FV_raw,Fantavoto,Titolare%,EV,Disp,Res
Maignan,P,Milan,vs Venezia,4.444,4.46,100,4.46,True,0.123
Falcone,P,Lecce,vs Roma,3.965,3.9,100,3.9,True,-0.432
Torriani,P,Milan,vs Venezia,4.472,4.49,0,4.63,True,0.123
Mancini,D,Roma,@ Lecce,6.53,6.59,100,6.59,True,0.432
Ramon,D,Como,@ Napoli,6.448,6.45,86,6.43,True,0.02
Lucumì,D,Juventus,vs Parma Calcio 1913,6.354,6.45,0,6.3,True,0.669
Wesley,D,Roma,@ Lecce,6.429,6.49,78,6.45,True,0.432
Miranda J.,D,Bologna,@ Atalanta,6.24,6.22,95,6.22,True,-0.148
Diego Carlos,D,Parma,@ Juventus,6.07,5.97,7,6.27,True,-0.669
Badiashile,D,Napoli,vs Como,6.209,6.21,0,6.3,True,-0.02
Gabbia,D,Milan,vs Venezia,6.275,6.29,83,6.29,True,0.123
Conceicao,C,Juventus,vs Parma Calcio 1913,7.176,7.28,100,7.28,True,0.669
Alajbegovic,C,Juventus,vs Parma Calcio 1913,6.331,6.43,0,6.35,True,0.669
Cristante,C,Roma,@ Lecce,6.357,6.42,100,6.42,True,0.432
Lobotka,C,Napoli,vs Como,6.141,6.14,82,6.18,True,-0.02
Pulisic,C,Milan,vs Venezia,6.586,6.6,29,6.43,True,0.123
Liberali,C,Como,@ Napoli,6.054,6.06,40,6.24,True,0.02
Bernabè,C,Parma,@ Juventus,6.14,6.04,47,6.21,True,-0.669
Orsolini,C,Bologna,@ Atalanta,6.581,6.56,61,6.48,False,-0.148
Laurientè,A,Sassuolo,vs Torino,7.077,7.11,100,7.11,True,0.2
Hojlund,A,Napoli,vs Como,6.916,6.91,100,6.91,True,-0.02
De Ketelaere,A,Atalanta,vs Bologna,6.52,6.54,70,6.7,True,0.148
Maldini,A,Cagliari,vs Inter,6.867,6.83,28,7.0,True,-0.231
Stulic,A,Lecce,vs Roma,6.196,6.13,35,6.73,True,-0.432
Yildiz,A,Juventus,vs Parma Calcio 1913,6.997,7.1,73,7.09,False,0.669
