Giocatore,Ruolo,Squadra,Avversario,FV_raw,Fantavoto,Titolare%,EV
Maignan,P,Milan,@ Juventus,4.046,4.05,100,4.05
Falcone,P,Lecce,@ Cagliari,4.161,4.16,100,4.16
Torriani,P,Milan,@ Juventus,4.075,4.07,0,4.62
Mancini,D,Roma,vs Atalanta,6.565,6.56,100,6.56
Ramon,D,Como,@ Genoa,6.564,6.56,89,6.53
Lucumì,D,Juventus,vs AC Milan,6.252,6.25,28,6.28
Wesley,D,Roma,vs Atalanta,6.432,6.43,83,6.41
Miranda J.,D,Bologna,vs Sassuolo,6.35,6.35,72,6.33
Diego Carlos,D,Parma,vs Monza,6.139,6.14,6,6.29
Badiashile,D,Napoli,@ Inter,6.142,6.14,0,6.29
Gabbia,D,Milan,@ Juventus,6.136,6.14,70,6.18
Conceicao,C,Juventus,vs AC Milan,6.952,6.95,100,6.95
Alajbegovic,C,Juventus,vs AC Milan,6.122,6.12,40,6.26
Cristante,C,Roma,vs Atalanta,6.376,6.38,100,6.38
Lobotka,C,Napoli,@ Inter,6.117,6.12,90,6.14
Pulisic,C,Milan,@ Juventus,6.275,6.28,16,6.34
Liberali,C,Como,@ Genoa,6.07,6.07,18,6.3
Bernabè,C,Parma,vs Monza,6.27,6.27,58,6.31
Orsolini,C,Bologna,vs Sassuolo,6.521,6.52,53,6.44
Laurientè,A,Sassuolo,@ Bologna,6.691,6.69,100,6.69
Hojlund,A,Napoli,@ Inter,6.744,6.74,100,6.74
De Ketelaere,A,Atalanta,@ Roma,6.331,6.33,60,6.62
Maldini,A,Cagliari,vs Lecce,7.286,7.29,49,7.17
Stulic,A,Lecce,@ Cagliari,6.274,6.27,32,6.81
Yildiz,A,Juventus,vs AC Milan,6.943,6.94,55,7.0
